Price,Area,No. of Bedrooms,Gymnasium,SwimmingPool,IndoorGames,ClubHouse,CarParking,Hospital,Children'splayarea,LiftAvailable,GolfCourse,city
30000000,3340,4,1,1,1,1,0,0,1,1,0,Bangalore
7888000,1045,2,1,1,1,1,1,0,1,1,0,Bangalore
4866000,1179,2,1,1,0,0,0,0,1,1,0,Bangalore
8358000,1675,3,0,0,0,0,0,0,0,1,0,Bangalore
6845000,1670,3,1,1,1,1,1,0,1,1,0,Bangalore
6797000,1220,2,1,1,1,1,1,0,1,1,0,Bangalore
20000000,2502,4,1,1,0,1,1,0,1,1,0,Bangalore
7105000,1438,3,1,0,0,0,1,0,1,1,0,Bangalore
8405000,1405,3,1,1,0,0,0,0,0,0,0,Bangalore
3506000,660,1,1,1,1,1,1,0,1,0,0,Bangalore
7700000,1362,2,1,1,1,1,1,0,1,1,0,Bangalore
9369000,1735,3,1,1,1,1,1,0,1,1,0,Bangalore
8716000,1575,3,1,1,1,0,0,1,1,0,0,Bangalore
5394000,1120,2,1,1,1,1,1,0,1,1,0,Bangalore
6367000,1415,3,1,1,0,0,0,0,1,1,0,Bangalore
5080000,1270,2,1,1,1,0,1,0,0,1,0,Bangalore
7209999,1311,3,1,1,1,1,1,0,1,1,0,Bangalore
5700000,1210,2,1,1,0,1,1,0,1,1,0,Bangalore
30000000,3340,4,1,1,1,1,0,0,1,1,0,Bangalore
7888000,1045,2,1,1,1,1,1,0,1,1,0,Bangalore
4866000,1179,2,1,1,0,0,0,0,1,1,0,Bangalore
8358000,1675,3,0,0,0,0,0,0,0,1,0,Bangalore
6845000,1670,3,1,1,1,1,1,0,1,1,0,Bangalore
6797000,1220,2,1,1,1,1,1,0,1,1,0,Bangalore
20000000,2502,4,1,1,0,1,1,0,1,1,0,Bangalore
7105000,1438,3,1,0,0,0,1,0,1,1,0,Bangalore
8405000,1405,3,1,1,0,0,0,0,0,0,0,Bangalore
3506000,660,1,1,1,1,1,1,0,1,0,0,Bangalore
7700000,1362,2,1,1,1,1,1,0,1,1,0,Bangalore
9369000,1735,3,1,1,1,1,1,0,1,1,0,Bangalore
8716000,1575,3,1,1,1,0,0,1,1,0,0,Bangalore
5394000,1120,2,1,1,1,1,1,0,1,1,0,Bangalore
6367000,1415,3,1,1,0,0,0,0,1,1,0,Bangalore
5080000,1270,2,1,1,1,0,1,0,0,1,0,Bangalore
7209999,1311,3,1,1,1,1,1,0,1,1,0,Bangalore
5700000,1210,2,1,1,0,1,1,0,1,1,0,Bangalore
12400000,1705,3,1,1,0,1,0,0,1,1,0,Bangalore
4900000,1187,2,1,1,1,1,0,0,1,1,0,Bangalore
30000000,3340,4,1,1,1,1,0,0,1,1,0,Bangalore
7888000,1045,2,1,1,1,1,1,0,1,1,0,Bangalore
4866000,1179,2,1,1,0,0,0,0,1,1,0,Bangalore
8358000,1675,3,0,0,0,0,0,0,0,1,0,Bangalore
6845000,1670,3,1,1,1,1,1,0,1,1,0,Bangalore
6797000,1220,2,1,1,1,1,1,0,1,1,0,Bangalore
20000000,2502,4,1,1,0,1,1,0,1,1,0,Bangalore
7105000,1438,3,1,0,0,0,1,0,1,1,0,Bangalore
8405000,1405,3,1,1,0,0,0,0,0,0,0,Bangalore
3506000,660,1,1,1,1,1,1,0,1,0,0,Bangalore
7700000,1362,2,1,1,1,1,1,0,1,1,0,Bangalore
9369000,1735,3,1,1,1,1,1,0,1,1,0,Bangalore
